transaction_id,sale_date,product_name,category,region,quantity,unit_price,discount_pct,tax_pct,total_amount,payment_method
40,2024-10-18,Mouse F,Electronics,UK,5,43660,5,5,217754.25,Card
41,2024-12-06,Headphones C,Accessories,Germany,3,39050,0,12,131208.0,NetBanking
42,2024-04-20,Laptop B,Electronics,Canada,8,29035,5,12,247145.92,UPI
43,2024-12-30,Camera G,Accessories,Germany,9,7448,0,12,75075.84,NetBanking
44,2024-01-02,Monitor E,Electronics,India,1,58004,15,12,55219.81,NetBanking
45,2024-11-08,Keyboard D,Accessories,USA,1,37263,10,18,39573.31,Card
46,2024-05-16,Mouse F,Accessories,India,4,45738,10,18,194295.02,UPI
47,2024-03-20,Keyboard D,Electronics,USA,3,45473,15,18,136828.26,Cash
48,2024-10-24,Headphones C,Electronics,Australia,5,57885,5,18,324445.42,Card
49,2024-12-17,Tablet H,Accessories,Australia,5,20560,10,12,103622.4,Cash
50,2024-05-26,Smartphone A,Electronics,Australia,6,31847,0,5,200636.1,NetBanking
51,2024-11-14,Mouse F,Accessories,Australia,4,38881,10,5,146970.18,Cash
52,2024-10-29,Laptop B,Accessories,USA,1,5311,5,5,5297.72,NetBanking
53,2024-07-04,Keyboard D,Accessories,USA,6,30062,15,12,171714.14,UPI
54,2024-07-22,Monitor E,Electronics,Germany,9,22751,0,18,241615.62,Card
55,2024-03-22,Mouse F,Electronics,Germany,6,43232,15,18,260170.18,Cash
56,2024-12-03,Tablet H,Electronics,UK,9,30286,0,18,321637.32,NetBanking
57,2024-12-05,Mouse F,Gadgets,Canada,6,57521,10,5,326144.07,NetBanking
58,2024-08-15,Mouse F,Gadgets,USA,4,50284,15,18,201739.41,NetBanking
59,2024-02-06,Smartphone A,Electronics,USA,1,30608,10,5,28924.56,UPI
60,2024-02-15,Mouse F,Gadgets,UK,6,31167,0,18,220662.36,Card
61,2024-08-30,Smartphone A,Accessories,India,6,38232,15,18,230080.18,Card
62,2024-02-17,Mouse F,Electronics,UK,4,14555,5,5,58074.45,UPI
63,2024-02-01,Monitor E,Gadgets,Australia,2,17963,0,5,37722.3,NetBanking
64,2024-07-23,Camera G,Electronics,Canada,5,2090,5,18,11714.45,Card
65,2024-08-15,Tablet H,Accessories,USA,10,52783,0,5,554221.5,Cash
66,2024-08-14,Laptop B,Accessories,Canada,4,8504,5,12,36193.02,Cash
67,2024-11-01,Tablet H,Accessories,India,3,33273,15,18,100118.46,Cash
68,2024-11-02,Headphones C,Accessories,USA,9,3300,15,12,28274.4,Cash
69,2024-03-03,Laptop B,Electronics,USA,1,12996,10,12,13099.97,NetBanking
70,2024-03-14,Camera G,Electronics,Canada,2,38120,10,18,80966.88,UPI
71,2024-12-25,Laptop B,Accessories,Australia,5,50401,0,5,264605.25,NetBanking
72,2024-12-24,Laptop B,Gadgets,India,9,44330,10,18,423706.14,Card
73,2024-11-27,Smartphone A,Electronics,Canada,2,25578,5,18,57345.88,Cash
74,2024-01-30,Monitor E,Gadgets,India,1,29118,15,5,25987.81,Cash
75,2024-07-15,Laptop B,Accessories,Germany,5,707,0,12,3959.2,Cash
76,2024-09-04,Laptop B,Electronics,Canada,4,15842,15,12,60326.34,Cash
77,2024-11-22,Laptop B,Accessories,Australia,5,43960,5,12,233867.2,NetBanking
78,2024-10-06,Laptop B,Gadgets,UK,5,13714,10,5,64798.65,Card
79,2024-08-18,Keyboard D,Gadgets,USA,5,24690,0,5,129622.5,Card
80,2024-10-23,Laptop B,Electronics,USA,2,4692,15,18,9412.15,Card
81,2024-02-10,Headphones C,Gadgets,Germany,7,47637,15,12,317452.97,NetBanking
82,2024-01-01,Tablet H,Electronics,India,7,28593,10,5,189142.7,NetBanking
83,2024-03-22,Mouse F,Gadgets,Canada,2,30051,0,12,67314.24,NetBanking
84,2024-07-14,Tablet H,Accessories,Germany,5,53737,5,12,285880.84,Cash
85,2024-08-08,Camera G,Gadgets,USA,10,28573,5,5,285015.67,Card
86,2024-02-14,Keyboard D,Gadgets,Canada,8,56023,0,12,501966.08,NetBanking
87,2024-12-12,Monitor E,Gadgets,Canada,3,30896,10,12,93429.5,NetBanking
88,2024-06-23,Headphones C,Accessories,USA,7,43858,5,12,326654.38,UPI
89,2024-01-20,Smartphone A,Electronics,Germany,8,6049,0,18,57102.56,UPI
90,2024-08-29,Headphones C,Electronics,Canada,10,49477,0,18,583828.6,Cash
91,2024-11-22,Keyboard D,Electronics,Canada,4,22787,10,18,96799.18,NetBanking
92,2024-12-07,Camera G,Gadgets,UK,2,19807,15,5,35355.5,Card
93,2024-05-13,Tablet H,Electronics,USA,9,3751,5,12,35919.58,Card
94,2024-04-20,Mouse F,Gadgets,UK,3,2395,10,12,7242.48,Cash
95,2024-01-02,Keyboard D,Gadgets,UK,8,42109,10,18,357758.06,Card
96,2024-10-19,Mouse F,Accessories,USA,4,17736,0,18,83713.92,Card
97,2024-10-22,Smartphone A,Gadgets,India,4,29592,10,18,125706.82,UPI
98,2024-06-05,Monitor E,Gadgets,Germany,9,27193,10,18,259910.69,NetBanking
99,2024-12-05,Mouse F,Electronics,Canada,1,20699,0,5,21733.95,NetBanking
100,2024-03-25,Headphones C,Accessories,Australia,7,28446,15,18,199719.37,UPI
101,2024-10-09,Smartphone A,Gadgets,India,10,51992,10,12,524079.36,Cash
102,2024-10-11,Laptop B,Accessories,UK,5,43710,5,5,218003.62,Card
103,2024-04-12,Mouse F,Gadgets,UK,7,4270,15,12,28455.28,Cash
104,2024-02-19,Smartphone A,Gadgets,Canada,9,57149,15,18,515884.02,Card
105,2024-10-06,Keyboard D,Gadgets,India,1,48416,15,5,43211.28,NetBanking
106,2024-03-30,Camera G,Gadgets,UK,1,39832,5,5,39732.42,Cash
107,2024-02-18,Laptop B,Electronics,USA,3,29812,10,12,90151.49,Cash
108,2024-08-10,Smartphone A,Electronics,Canada,2,11567,15,18,23203.4,Card
109,2024-01-24,Headphones C,Electronics,Canada,1,19154,10,18,20341.55,NetBanking
110,2024-04-26,Headphones C,Electronics,UK,5,46681,0,18,275417.9,Cash
111,2024-03-09,Laptop B,Gadgets,Germany,3,19585,10,18,62397.81,Cash
112,2024-12-29,Laptop B,Accessories,Australia,8,16615,0,12,148870.4,UPI
113,2024-04-17,Mouse F,Electronics,Germany,8,10514,10,12,84784.9,Card
114,2024-02-05,Camera G,Accessories,USA,3,9853,10,5,27933.26,Cash
115,2024-09-22,Smartphone A,Electronics,UK,8,6950,10,18,59047.2,Cash
116,2024-04-03,Laptop B,Gadgets,India,5,48626,10,12,245075.04,Card
117,2024-04-23,Laptop B,Accessories,Canada,1,21349,0,12,23910.88,UPI
118,2024-09-06,Headphones C,Electronics,Germany,6,31259,15,5,167391.95,Card
119,2024-03-02,Headphones C,Gadgets,Germany,5,36736,0,5,192864.0,Card
120,2024-06-17,Headphones C,Gadgets,UK,6,31032,10,18,197735.9,Cash
121,2024-02-11,Tablet H,Gadgets,Germany,9,36133,15,5,290238.32,Cash
122,2024-11-05,Laptop B,Electronics,Canada,6,23742,10,5,134617.14,Cash
123,2024-06-10,Mouse F,Gadgets,USA,1,6307,0,12,7063.84,Cash
124,2024-01-22,Laptop B,Electronics,UK,4,54612,0,18,257768.64,Card
125,2024-08-07,Monitor E,Electronics,USA,2,23863,15,5,42595.46,UPI
126,2024-04-19,Keyboard D,Electronics,Germany,10,45870,15,18,460076.1,UPI
127,2024-03-20,Mouse F,Electronics,Australia,2,41321,0,12,92559.04,NetBanking
128,2024-01-15,Camera G,Accessories,Germany,9,55335,15,5,444478.39,Cash
129,2024-05-13,Mouse F,Gadgets,India,8,19654,5,18,176257.07,Cash
130,2024-01-16,Keyboard D,Accessories,Germany,2,21430,15,5,38252.55,Cash
131,2024-03-17,Mouse F,Electronics,UK,3,11946,5,5,35748.4,Cash
132,2024-06-30,Keyboard D,Gadgets,UK,9,59653,5,12,571237.13,Cash
133,2024-03-04,Headphones C,Gadgets,UK,5,30214,10,5,142761.15,Card
134,2024-08-10,Keyboard D,Electronics,Germany,9,43068,10,18,411643.94,UPI
135,2024-04-15,Camera G,Gadgets,USA,9,18264,10,12,165691.01,NetBanking
136,2024-11-09,Tablet H,Electronics,Canada,5,18399,10,12,92730.96,UPI
137,2024-01-16,Tablet H,Gadgets,Canada,1,34284,10,18,36409.61,UPI
138,2024-03-26,Camera G,Electronics,UK,4,38233,0,12,171283.84,NetBanking
139,2024-11-28,Monitor E,Accessories,UK,6,17514,0,12,117694.08,Card
140,2024-07-15,Camera G,Accessories,India,1,47022,10,12,47398.18,Card
141,2024-11-21,Headphones C,Accessories,Australia,8,34308,15,12,261289.73,UPI
142,2024-01-28,Monitor E,Electronics,UK,10,53865,5,12,573123.6,UPI
143,2024-04-02,Camera G,Electronics,Germany,4,31083,10,18,132040.58,UPI
144,2024-05-13,Mouse F,Electronics,Australia,1,3671,5,18,4115.19,Cash
145,2024-07-19,Laptop B,Electronics,Canada,10,39632,5,18,444274.72,Cash
146,2024-06-01,Smartphone A,Accessories,UK,6,3176,10,5,18007.92,Cash
147,2024-10-12,Mouse F,Electronics,Canada,8,57996,15,12,441697.54,NetBanking
148,2024-12-03,Tablet H,Accessories,Australia,3,15372,10,5,43579.62,Card
149,2024-10-02,Laptop B,Gadgets,UK,3,10340,15,18,31113.06,NetBanking
150,2024-12-25,Monitor E,Electronics,USA,8,5583,5,18,50068.34,UPI
151,2024-09-11,Mouse F,Accessories,Germany,8,9927,5,12,84498.62,NetBanking
152,2024-02-22,Laptop B,Gadgets,India,5,9077,0,18,53554.3,Card
153,2024-09-12,Laptop B,Accessories,Germany,8,29603,15,18,237534.47,Cash
154,2024-02-27,Keyboard D,Electronics,Canada,5,32507,5,5,162128.66,UPI
155,2024-08-16,Headphones C,Electronics,Canada,3,59344,15,12,169486.46,UPI
156,2024-01-01,Monitor E,Gadgets,India,9,27595,10,18,263753.01,NetBanking
157,2024-05-26,Camera G,Gadgets,Canada,5,28922,15,5,129064.43,NetBanking
158,2024-10-28,Monitor E,Gadgets,India,10,16673,0,18,196741.4,Card
159,2024-03-26,Laptop B,Gadgets,Canada,3,5859,15,12,16733.3,UPI
160,2024-07-29,Keyboard D,Gadgets,Canada,3,45590,0,18,161388.6,Cash
161,2024-08-29,Smartphone A,Gadgets,Germany,1,28288,10,12,28514.3,Cash
162,2024-02-18,Smartphone A,Gadgets,UK,7,20300,0,12,159152.0,UPI
163,2024-11-03,Tablet H,Gadgets,Canada,3,30796,5,18,103566.95,UPI
164,2024-07-24,Laptop B,Electronics,USA,4,26312,5,18,117983.01,NetBanking
165,2024-03-07,Smartphone A,Gadgets,Australia,1,45636,15,18,45772.91,Cash
166,2024-07-17,Monitor E,Accessories,India,7,18066,0,5,132785.1,Cash
167,2024-12-11,Mouse F,Gadgets,UK,2,26239,10,18,55731.64,NetBanking
168,2024-02-05,Tablet H,Electronics,UK,1,23402,10,12,23589.22,NetBanking
169,2024-02-17,Mouse F,Gadgets,India,1,37656,15,18,37768.97,Card
170,2024-09-20,Mouse F,Gadgets,India,2,35205,15,12,67030.32,NetBanking
171,2024-10-19,Laptop B,Electronics,UK,2,2094,5,5,4177.53,Card
172,2024-09-29,Camera G,Accessories,UK,10,58685,5,5,585382.88,Card
173,2024-05-27,Keyboard D,Accessories,UK,9,2643,15,12,22645.22,NetBanking
174,2024-12-16,Monitor E,Gadgets,USA,1,39028,0,18,46053.04,Cash
175,2024-06-01,Laptop B,Accessories,Australia,2,52380,5,12,111464.64,NetBanking
176,2024-05-23,Tablet H,Gadgets,USA,7,29258,0,5,215046.3,NetBanking
177,2024-03-26,Monitor E,Electronics,Germany,3,1307,10,5,3705.35,Cash
178,2024-11-09,Smartphone A,Electronics,USA,8,25930,5,5,206921.4,Card
179,2024-12-30,Keyboard D,Gadgets,UK,6,44461,5,12,283839.02,Card
180,2024-07-30,Camera G,Accessories,UK,6,10584,10,5,60011.28,Cash
181,2024-03-07,Camera G,Accessories,Canada,7,7903,10,5,52278.35,Card
182,2024-02-21,Smartphone A,Electronics,Australia,7,13348,10,5,88297.02,UPI
183,2024-02-07,Mouse F,Accessories,India,8,42997,5,5,343116.06,UPI
184,2024-07-25,Monitor E,Electronics,Germany,7,54456,0,12,426935.04,Card
185,2024-10-16,Headphones C,Gadgets,Germany,1,51266,5,18,57469.19,NetBanking
186,2024-06-19,Tablet H,Electronics,UK,9,32891,0,12,331541.28,Cash
187,2024-12-20,Headphones C,Gadgets,Australia,10,15340,10,5,144963.0,Card
188,2024-09-24,Monitor E,Gadgets,Germany,8,21706,15,5,154980.84,UPI
189,2024-10-05,Laptop B,Accessories,USA,3,32091,15,5,85923.65,UPI
190,2024-06-04,Headphones C,Electronics,UK,8,40326,0,12,361320.96,Card
191,2024-02-29,Laptop B,Gadgets,USA,10,54532,10,12,549682.56,UPI
192,2024-10-05,Smartphone A,Accessories,Australia,6,20172,15,18,121395.1,Card
193,2024-03-03,Monitor E,Gadgets,Germany,4,18199,0,5,76435.8,UPI
194,2024-03-28,Keyboard D,Accessories,India,8,36803,5,5,293687.94,Card
195,2024-03-12,Keyboard D,Accessories,UK,6,40090,10,18,255453.48,NetBanking
196,2024-03-06,Tablet H,Electronics,Australia,3,32357,15,12,92411.59,UPI
197,2024-03-17,Laptop B,Gadgets,Germany,6,10379,15,5,55579.55,Card
198,2024-04-13,Camera G,Electronics,UK,7,13835,15,12,92196.44,UPI
199,2024-06-13,Tablet H,Electronics,Germany,6,46584,0,12,313044.48,NetBanking
200,2024-10-20,Smartphone A,Electronics,Canada,7,45670,15,18,320649.07,NetBanking
201,2024-09-23,Keyboard D,Gadgets,Canada,7,11440,15,18,80320.24,Cash
202,2024-11-07,Mouse F,Accessories,USA,6,32112,10,5,182075.04,Cash
203,2024-01-30,Camera G,Electronics,Australia,10,23332,10,12,235186.56,Cash
204,2024-03-07,Monitor E,Gadgets,UK,8,52923,10,18,449633.81,NetBanking
205,2024-02-14,Keyboard D,Accessories,USA,9,4189,10,18,40038.46,UPI
206,2024-10-26,Smartphone A,Electronics,USA,7,5633,0,12,44162.72,Cash
207,2024-08-18,Headphones C,Accessories,Australia,2,9461,5,12,20133.01,UPI
208,2024-12-22,Camera G,Gadgets,Australia,3,8092,10,5,22940.82,Card
209,2024-05-03,Monitor E,Gadgets,Canada,1,42750,0,12,47880.0,NetBanking
210,2024-02-01,Camera G,Accessories,Canada,9,57899,5,5,519788.27,Cash
211,2024-08-18,Keyboard D,Accessories,India,1,41745,0,12,46754.4,Card
212,2024-08-12,Tablet H,Gadgets,India,10,3989,0,5,41884.5,Cash
213,2024-03-27,Camera G,Gadgets,Germany,3,10503,5,12,33525.58,Card
214,2024-08-07,Laptop B,Accessories,USA,6,52159,0,12,350508.48,UPI
215,2024-11-30,Laptop B,Gadgets,Australia,9,50248,5,12,481174.85,Card
216,2024-01-20,Tablet H,Gadgets,Australia,10,50589,5,5,504625.28,Card
217,2024-05-16,Keyboard D,Accessories,USA,5,42360,0,12,237216.0,UPI
218,2024-09-24,Laptop B,Electronics,UK,4,10693,0,18,50470.96,NetBanking
219,2024-11-12,Monitor E,Accessories,UK,10,5943,15,5,53041.28,Cash
220,2024-10-04,Laptop B,Accessories,USA,8,27982,5,18,250942.58,NetBanking
221,2024-10-19,Tablet H,Gadgets,Germany,5,53513,5,5,266896.09,NetBanking
222,2024-11-02,Laptop B,Accessories,USA,5,15927,5,18,89270.83,UPI
223,2024-10-20,Smartphone A,Electronics,Canada,8,18018,5,5,143783.64,Card
224,2024-04-25,Headphones C,Gadgets,India,8,35923,15,5,256490.22,UPI
225,2024-03-18,Smartphone A,Accessories,Germany,1,31618,0,12,35412.16,UPI
226,2024-08-26,Monitor E,Gadgets,UK,2,17897,10,5,33825.33,NetBanking
227,2024-07-20,Mouse F,Electronics,Canada,1,43790,15,18,43921.37,Cash
228,2024-04-30,Mouse F,Electronics,Canada,1,59593,10,12,60069.74,UPI
229,2024-11-15,Laptop B,Electronics,Australia,4,27161,5,5,108372.39,Cash
230,2024-02-09,Monitor E,Accessories,Canada,9,5384,10,5,45790.92,Card
231,2024-08-06,Tablet H,Electronics,Australia,3,22488,15,18,67666.39,UPI
232,2024-05-29,Mouse F,Accessories,UK,4,51147,15,18,205201.76,NetBanking
233,2024-01-12,Monitor E,Gadgets,Canada,5,34963,10,12,176213.52,Cash
234,2024-01-28,Monitor E,Electronics,India,8,26390,15,12,200986.24,UPI
235,2024-01-24,Camera G,Accessories,Germany,6,38811,5,5,232283.83,NetBanking
236,2024-07-12,Laptop B,Gadgets,USA,7,9277,10,12,65458.51,UPI
237,2024-02-22,Tablet H,Gadgets,Canada,7,19633,5,18,154060.15,Cash
238,2024-04-23,Keyboard D,Gadgets,Australia,3,17445,5,18,58667.53,Card
239,2024-02-25,Mouse F,Gadgets,Canada,9,29261,0,5,276516.45,UPI
240,2024-05-16,Headphones C,Gadgets,Canada,4,41445,0,5,174069.0,Cash
241,2024-12-23,Monitor E,Electronics,Germany,8,57814,15,5,412791.96,NetBanking
242,2024-05-20,Smartphone A,Accessories,India,1,1022,0,12,1144.64,Card
243,2024-07-11,Headphones C,Accessories,India,3,34436,15,18,103617.92,Card
244,2024-05-02,Laptop B,Electronics,Canada,4,27416,15,18,109992.99,UPI
245,2024-05-01,Camera G,Accessories,Australia,8,37673,0,5,316453.2,Cash
246,2024-09-23,Monitor E,Accessories,USA,8,5870,5,12,49965.44,NetBanking
247,2024-05-27,Camera G,Electronics,Germany,1,34342,0,5,36059.1,UPI
248,2024-11-17,Laptop B,Gadgets,India,9,26863,5,5,241162.58,NetBanking
249,2024-05-27,Mouse F,Gadgets,Germany,1,18601,15,12,17708.15,UPI
250,2024-10-11,Tablet H,Accessories,Canada,6,10690,10,12,64653.12,Card
251,2024-10-31,Keyboard D,Electronics,UK,7,26590,0,18,219633.4,UPI
252,2024-07-30,Mouse F,Electronics,UK,1,9724,10,12,9801.79,Cash
253,2024-11-16,Camera G,Electronics,Canada,1,47429,10,5,44820.4,UPI
254,2024-06-07,Tablet H,Gadgets,USA,10,12270,15,18,123068.1,Card
255,2024-02-08,Smartphone A,Accessories,USA,4,12917,10,18,54871.42,NetBanking
256,2024-08-20,Camera G,Electronics,India,3,7476,5,18,25141.79,UPI
257,2024-03-30,Headphones C,Gadgets,Canada,10,57758,15,12,549856.16,Cash
258,2024-11-22,Headphones C,Accessories,India,7,36222,15,18,254314.66,NetBanking
259,2024-01-09,Keyboard D,Accessories,USA,8,37072,0,12,332165.12,Card
260,2024-01-30,Monitor E,Accessories,Australia,7,12472,10,5,82502.28,UPI
261,2024-09-19,Mouse F,Gadgets,UK,10,41743,0,18,492567.4,Cash
262,2024-07-25,Mouse F,Electronics,Canada,2,5901,15,5,10533.28,Card
263,2024-07-08,Camera G,Gadgets,Canada,3,12928,5,18,43476.86,Cash
264,2024-08-26,Camera G,Accessories,Germany,4,39384,0,12,176440.32,Cash
265,2024-07-18,Smartphone A,Accessories,USA,8,41171,5,18,369221.53,Card
266,2024-11-02,Headphones C,Electronics,Canada,8,42227,0,5,354706.8,Cash
267,2024-02-28,Monitor E,Accessories,Germany,7,35354,15,18,248220.43,UPI
268,2024-04-10,Camera G,Accessories,Canada,3,34326,0,12,115335.36,Cash
269,2024-08-02,Headphones C,Accessories,UK,3,20492,0,18,72541.68,Cash
270,2024-11-26,Camera G,Accessories,UK,6,30797,15,18,185336.35,Cash
271,2024-08-21,Camera G,Gadgets,UK,9,36785,0,12,370792.8,Card
272,2024-07-17,Camera G,Accessories,Australia,5,41883,5,5,208891.46,Card
273,2024-02-14,Headphones C,Accessories,India,1,57557,15,12,54794.26,Cash
274,2024-12-15,Smartphone A,Electronics,Canada,8,34164,15,5,243930.96,NetBanking
275,2024-06-22,Monitor E,Gadgets,India,1,7403,5,18,8298.76,UPI
276,2024-07-09,Mouse F,Gadgets,USA,7,41811,5,12,311408.33,UPI
277,2024-08-16,Tablet H,Electronics,UK,1,58989,15,12,56157.53,NetBanking
278,2024-02-27,Headphones C,Accessories,UK,4,18047,15,12,68722.98,NetBanking
279,2024-08-08,Camera G,Gadgets,Australia,10,2803,10,12,28254.24,Card
280,2024-04-20,Headphones C,Accessories,Canada,7,37873,10,5,250529.9,NetBanking
281,2024-11-07,Keyboard D,Electronics,USA,4,58634,5,18,262914.86,UPI
282,2024-03-10,Monitor E,Electronics,Germany,3,36432,0,12,122411.52,UPI
283,2024-04-01,Headphones C,Gadgets,India,3,20449,5,12,65273.21,UPI
284,2024-11-06,Monitor E,Electronics,Canada,3,31937,10,5,90541.4,Cash
285,2024-10-27,Headphones C,Accessories,India,4,10401,0,18,49092.72,Cash
286,2024-03-12,Tablet H,Gadgets,USA,9,11073,15,5,88943.87,UPI
287,2024-11-20,Mouse F,Electronics,Germany,7,20255,5,18,158940.98,UPI
288,2024-08-29,Keyboard D,Gadgets,UK,10,41136,15,18,412594.08,Cash
289,2024-02-12,Monitor E,Accessories,USA,3,11658,5,18,39205.85,UPI
290,2024-05-04,Camera G,Gadgets,Canada,7,44881,5,12,334273.69,Card
291,2024-11-04,Camera G,Gadgets,India,1,46012,15,18,46150.04,Card
292,2024-05-30,Headphones C,Accessories,UK,10,52279,10,5,494036.55,Card
293,2024-01-09,Smartphone A,Gadgets,UK,9,55126,0,5,520940.7,UPI
294,2024-07-03,Headphones C,Accessories,Germany,10,34772,5,12,369974.08,UPI
295,2024-03-01,Monitor E,Accessories,India,9,12173,0,5,115034.85,Cash
296,2024-07-01,Mouse F,Gadgets,UK,5,4283,10,5,20237.17,Cash
297,2024-03-29,Camera G,Gadgets,Canada,7,14031,5,18,110101.26,UPI
298,2024-01-14,Smartphone A,Gadgets,USA,9,38895,15,12,333252.36,UPI
299,2024-05-01,Mouse F,Accessories,India,2,51595,15,18,103499.57,Card
300,2024-08-21,Headphones C,Accessories,USA,1,15689,0,18,18513.02,Cash
301,2024-03-04,Mouse F,Gadgets,Germany,10,7773,5,18,87135.33,Cash
302,2024-02-22,Laptop B,Accessories,Australia,9,18063,0,18,191829.06,Cash
303,2024-10-26,Mouse F,Electronics,UK,10,26681,0,18,314835.8,Cash
304,2024-06-13,Monitor E,Gadgets,Australia,8,36286,5,18,325412.85,NetBanking
305,2024-02-12,Headphones C,Gadgets,Australia,6,56589,5,5,338685.16,NetBanking
306,2024-10-06,Keyboard D,Accessories,USA,3,928,10,18,2956.61,Card
307,2024-05-14,Mouse F,Electronics,USA,1,3944,0,12,4417.28,NetBanking
308,2024-11-27,Smartphone A,Accessories,Australia,10,1593,15,5,14217.53,NetBanking
309,2024-02-01,Mouse F,Electronics,India,6,54418,15,18,327487.52,Card
310,2024-11-12,Headphones C,Accessories,USA,6,957,0,5,6029.1,Cash
311,2024-03-30,Smartphone A,Electronics,Canada,1,35571,10,5,33614.6,Cash
312,2024-08-15,Camera G,Accessories,India,7,57354,5,5,400474.3,NetBanking
313,2024-05-16,Headphones C,Electronics,USA,3,3912,0,18,13848.48,Card
314,2024-07-23,Smartphone A,Gadgets,India,3,38728,15,5,103694.22,NetBanking
315,2024-05-16,Laptop B,Electronics,Canada,3,58832,10,5,166788.72,Cash
316,2024-08-04,Keyboard D,Gadgets,Australia,8,47172,15,5,336808.08,NetBanking
317,2024-12-30,Mouse F,Gadgets,USA,4,24503,15,5,87475.71,Cash
318,2024-09-02,Monitor E,Gadgets,UK,7,32714,0,18,270217.64,NetBanking
319,2024-06-10,Tablet H,Accessories,India,4,8693,0,18,41030.96,Card
320,2024-05-20,Mouse F,Accessories,USA,1,49969,10,5,47220.71,Card
321,2024-02-20,Camera G,Electronics,Canada,3,32059,15,18,96465.53,Card
322,2024-08-31,Laptop B,Electronics,Australia,9,15684,10,12,142285.25,NetBanking
323,2024-06-10,Monitor E,Gadgets,Canada,3,16120,5,5,48239.1,UPI
324,2024-11-16,Tablet H,Accessories,USA,4,55495,0,5,233079.0,NetBanking
325,2024-08-14,Mouse F,Gadgets,USA,7,15936,10,18,118468.22,Card
326,2024-08-03,Smartphone A,Gadgets,Canada,8,52522,5,5,419125.56,Card
327,2024-11-01,Laptop B,Accessories,USA,5,3398,15,12,16174.48,Card
328,2024-06-13,Headphones C,Accessories,Canada,8,25652,15,18,205831.65,Cash
329,2024-04-21,Laptop B,Electronics,Canada,4,49813,0,5,209214.6,Cash
330,2024-07-16,Monitor E,Electronics,Germany,8,19281,5,18,172912.01,Card
